"cruise","station","cast","rosette","pressure"
"FK","76",1,16,45.4
"FK","76",1,15,45.8
"FK","76",1,14,46.9
"FK","76",1,13,45.7
"FK","76",1,12,76
"FK","76",1,11,75.6
"FK","76",1,10,75.1
"FK","76",1,9,77.1
"FK","76",1,8,99.8
"FK","76",1,7,99.8
"FK","76",1,6,100.2
"FK","76",1,5,100
"FK","76",1,4,129
"FK","76",1,3,127
"FK","76",1,2,126.5
"FK","76",1,1,126
"FK","77",1,24,5.8
"FK","77",1,23,15.9
"FK","77",1,22,25.3
"FK","77",1,21,24.6
"FK","77",1,20,25.8
"FK","77",1,19,25.7
"FK","77",1,18,25.8
"FK","77",1,17,24.6
"FK","77",1,16,26.2
"FK","77",1,15,24.8
"FK","77",1,14,25.2
"FK","77",1,13,25.1
"FK","77",1,12,45.8
"FK","77",1,11,76
"FK","77",1,10,101
"FK","77",1,9,126.6
"FK","77",1,8,125.2
"FK","77",1,7,126.2
"FK","77",1,6,125.7
"FK","77",1,5,124.4
"FK","77",1,4,125.8
"FK","77",1,3,125.4
"FK","77",1,2,150.6
"FK","77",1,1,175.3
"FK","78",1,23,5.6
"FK","78",1,22,15.9
"FK","78",1,21,26.5
"FK","78",1,20,46.6
"FK","78",1,19,76.2
"FK","78",1,18,84.9
"FK","78",1,17,90.8
"FK","78",1,16,96.1
"FK","78",1,15,100.6
"FK","78",1,14,100.5
"FK","78",1,13,106.1
"FK","78",1,12,111.2
"FK","78",1,11,114.4
"FK","78",1,10,125.5
"FK","78",1,9,149.4
"FK","78",1,8,150.6
"FK","78",1,7,150.2
"FK","78",1,6,175.4
"FK","78",1,5,175.3
"FK","78",1,4,175.2
"FK","78",1,3,200.8
"FK","78",1,2,200.8
"FK","78",1,1,201.1
"FK","79",1,24,4.9
"FK","79",1,23,24.6
"FK","79",1,22,25.5
"FK","79",1,21,26.4
"FK","79",1,20,25.2
"FK","79",1,19,25.3
"FK","79",1,18,25
"FK","79",1,17,25.8
"FK","79",1,16,25.2
"FK","79",1,15,41.6
"FK","79",1,14,45
"FK","79",1,13,55.6
"FK","79",1,12,60.2
"FK","79",1,11,65.7
"FK","79",1,10,70.4
"FK","79",1,9,75
"FK","79",1,8,100.2
"FK","79",1,7,124.7
"FK","79",1,6,149.7
"FK","79",1,5,176.7
"FK","79",1,4,201.3
"FK","79",1,3,250
"FK","79",1,2,300.2
"FK","79",1,1,399.4
"FK","80",1,24,5.3
"FK","80",1,23,15.9
"FK","80",1,22,25.2
"FK","80",1,21,25.2
"FK","80",1,20,26.3
"FK","80",1,19,25.4
"FK","80",1,18,25.8
"FK","80",1,17,25.4
"FK","80",1,16,25.2
"FK","80",1,15,25
"FK","80",1,14,25.6
"FK","80",1,13,26.2
"FK","80",1,12,45.1
"FK","80",1,11,75.5
"FK","80",1,10,99.9
"FK","80",1,9,120.3
"FK","80",1,8,121
"FK","80",1,7,119.6
"FK","80",1,6,120.1
"FK","80",1,5,120
"FK","80",1,4,120.2
"FK","80",1,3,125.7
"FK","80",1,2,150.4
"FK","80",1,1,175
"FK","81",1,24,5.7
"FK","81",1,23,6
"FK","81",1,22,5.5
"FK","81",1,21,15.1
"FK","81",1,20,15.5
"FK","81",1,19,24.8
"FK","81",1,18,25.4
"FK","81",1,17,25
"FK","81",1,16,45.2
"FK","81",1,15,45.7
"FK","81",1,14,45.5
"FK","81",1,13,49.7
"FK","81",1,12,75
"FK","81",1,11,74.9
"FK","81",1,10,74.6
"FK","81",1,9,73.7
"FK","81",1,8,100.1
"FK","81",1,7,100.2
"FK","81",1,6,100.5
"FK","81",1,5,115.8
"FK","81",1,4,125.3
"FK","81",1,3,124.7
"FK","81",1,2,124.8
"FK","81",1,1,125.4
"FK","82",1,18,5.5
"FK","82",1,17,5.2
"FK","82",1,16,15.3
"FK","82",1,15,25.1
"FK","82",1,14,25.7
"FK","82",1,13,25.4
"FK","82",1,12,24.9
"FK","82",1,11,25.6
"FK","82",1,10,25.6
"FK","82",1,9,44.7
"FK","82",1,8,44.6
"FK","82",1,7,74.7
"FK","82",1,6,99.8
"FK","82",1,5,117.8
"FK","82",1,4,124.6
"FK","82",1,3,124.2
"FK","82",1,2,150.3
"FK","82",1,1,174.5
"FK","83",1,20,5.2
"FK","83",1,19,5.1
"FK","83",1,18,15.5
"FK","83",1,17,16
"FK","83",1,16,25.6
"FK","83",1,15,25.2
"FK","83",1,14,45.4
"FK","83",1,13,45.1
"FK","83",1,12,60.7
"FK","83",1,11,60.2
"FK","83",1,10,75.5
"FK","83",1,9,75.6
"FK","83",1,8,85.3
"FK","83",1,7,85.6
"FK","83",1,6,100.3
"FK","83",1,5,100.8
"FK","83",1,4,115.5
"FK","83",1,3,115.3
"FK","83",1,2,129.7
"FK","83",1,1,129.8
"FK","84",1,24,5.5
"FK","84",1,23,15.5
"FK","84",1,22,25
"FK","84",1,21,25
"FK","84",1,20,25.3
"FK","84",1,19,25.8
"FK","84",1,18,25
"FK","84",1,17,24.4
"FK","84",1,16,114.7
"FK","84",1,15,114.6
"FK","84",1,14,114.6
"FK","84",1,13,114.5
"FK","84",1,12,114.5
"FK","84",1,11,114.5
