"filename","polarity","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp"
"180821_Poo_Day1and2Poo_Full1.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full2.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full3.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full4.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full5.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full6.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half1.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half2.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half3.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half4.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half5.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half6.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full1.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full2.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full3.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
